Feature,Importance
MFCC_0,0.06542337794162185
MFCC_4,0.03718923094527221
MFCC_2,0.036972414432253894
MFCC_1,0.03566417147784214
MFCC_15,0.03045243827278171
MFCC_6,0.029037257484668413
MFCC_18,0.028524479587772086
MFCC_5,0.027120229652915252
MFCC_7,0.026867493225510013
MFCC_20,0.026349486950776345
MFCC_12,0.02583724282067269
MFCC_8,0.025600471313718995
MFCC_14,0.025545931942992043
MFCC_10,0.025224748978686543
MFCC_22,0.024725234142080853
MFCC_34,0.02414162433178928
MFCC_11,0.02387732068612998
MFCC_3,0.023755673212851155
MFCC_19,0.023702283712171663
MFCC_17,0.02318841510001274
MFCC_25,0.023183315133928753
MFCC_21,0.02278843185851839
MFCC_16,0.02266075015411811
MFCC_9,0.02246599825946207
MFCC_36,0.02226323187398205
MFCC_23,0.021455528951338322
MFCC_35,0.021447123907515988
MFCC_13,0.021264804292529353
MFCC_26,0.020986916896409347
MFCC_24,0.020856198048134
MFCC_37,0.020285978029871685
MFCC_27,0.020224661602999735
MFCC_33,0.01964648227847922
MFCC_31,0.01931458509807143
MFCC_38,0.019253796417544124
MFCC_30,0.019023500371304913
MFCC_39,0.018930307629973105
MFCC_28,0.018645235905523347
MFCC_32,0.018281724861051816
MFCC_29,0.017821902216724382
